iter	Passed	Remaining
0	182	182215
1	252	126072
2	322	107231
3	357	88907
4	386	76910
5	420	69630
6	572	81224
7	692	85925
8	824	90803
9	1002	99270
10	1171	105363
11	1264	104098
12	1430	108587
13	1574	110889
14	1657	108827
15	1729	106360
16	1796	103851
17	1860	101480
18	1930	99673
19	2065	101207
20	2110	98399
21	2172	96565
22	2229	94688
23	2284	92921
24	2355	91849
25	2431	91103
26	2493	89855
27	2563	88980
28	2612	87461
29	2676	86543
30	2744	85776
31	2805	84863
32	2869	84094
33	2967	84304
34	3016	83180
35	3072	82285
36	3123	81303
37	3175	80389
38	3232	79663
39	3259	78229
40	3287	76899
41	3315	75630
42	3384	75333
43	3426	74438
44	3473	73713
45	3504	72678
46	3543	71842
47	3587	71151
48	3679	71410
49	3762	71485
50	3849	71636
51	3954	72094
52	4072	72766
53	4170	73067
54	4225	72597
55	4294	72387
56	4338	71770
57	4395	71394
58	4457	71092
59	4537	71083
60	4577	70456
61	4600	69607
62	4626	68813
63	4655	68090
64	4683	67369
65	4712	66687
66	4739	66002
67	4773	65420
68	4831	65194
69	4928	65482
70	4991	65316
71	5048	65074
72	5104	64826
73	5153	64490
74	5195	64081
75	5260	63951
76	5362	64278
77	5436	64256
78	5482	63912
79	5528	63579
80	5586	63388
81	5642	63168
82	5705	63034
83	5762	62841
84	5820	62660
85	5887	62571
86	5925	62185
87	5966	61829
88	6000	61418
89	6027	60947
90	6064	60573
91	6093	60139
92	6121	59697
93	6158	59356
94	6209	59157
95	6266	59008
96	6314	58782
97	6341	58366
98	6368	57959
99	6401	57615
100	6440	57323
101	6479	57045
102	6540	56958
103	6594	56815
104	6688	57015
105	6721	56687
106	6748	56322
107	6772	55937
108	6797	55565
109	6821	55191
110	6855	54903
111	6888	54612
112	6919	54311
113	6959	54085
114	7001	53879
115	7052	53744
116	7087	53491
117	7128	53285
118	7160	53013
119	7186	52702
120	7213	52398
121	7240	52108
122	7268	51823
123	7297	51555
124	7326	51287
125	7372	51139
126	7418	50995
127	7460	50827
128	7489	50570
129	7517	50307
130	7550	50083
131	7587	49895
132	7654	49899
133	7705	49795
134	7750	49661
135	7786	49466
136	7823	49281
137	7874	49186
138	7906	48973
139	7940	48777
140	7970	48559
141	7996	48319
142	8023	48084
143	8049	47852
144	8075	47615
145	8103	47397
146	8127	47163
147	8155	46946
148	8202	46849
149	8255	46779
150	8305	46696
151	8341	46536
152	8372	46350
153	8401	46152
154	8425	45932
155	8453	45733
156	8477	45519
157	8507	45336
158	8561	45283
